Category Level 1,Category Level 2,Category Level 3,Category Level 4,Barserial,Name,Quantity,Retail,Cost,VAT,Net,Total Margin,Margin %
Cameras & Photography,Camera & Photo Accessories,Canon,,BBWGJZCH7VP2D,EF 20-35mm Canon Lens,1,£80.00,£30.00,£8.33,£71.67,£41.67,58.14%
Cameras & Photography,Camera & Photo Accessories,Kodak,,,,,,,,,,
Cameras & Photography,Camera & Photo Accessories,Nikon,,BBWGC584C52AC,Nikon D40 Body Only,1,£69.99,£30.00,£6.66,£63.32,£33.32,52.63%
Cameras & Photography,Camera & Photo Accessories,Nikon,,BBWGAF73FC70F,Nikon AF-P DX Nikkor Camera Lens,1,£49.99,£25.00,£4.16,£45.82,£20.83,45.44%
Cameras & Photography,Camera & Photo Accessories,Nikon,,BBWG71B695BBE,Nikon AF DX Fisheye 10.5mm f/2.8G ED Len,1,£134.99,£80.00,£9.16,£125.83,£45.83,36.42%
Cameras & Photography,Camera & Photo Accessories,Nikon,,BBWGE28B528A3,Sigma 24mm f/1.4 DG HSM (Nikon),1,£299.99,£170.00,£21.66,£278.33,£108.33,38.92%
Cameras & Photography,Camera & Photo Accessories,Nikon,,BBWGMMGKHXAIW,nikon coolpix b500,1,£89.99,£40.00,£8.33,£81.66,£41.66,51.02%
Cameras & Photography,Camera & Photo Accessories,Nikon,,BBWGBJYTGAKQG,Coolpix p610,1,£150.00,£50.00,£16.67,£133.33,£83.33,62.50%
Cameras & Photography,Camera & Photo Accessories,Nikon,,BBWGXLSC1E30Y,Nikon 1 J4 Mirrorless Digital Camera with 10-30mm PD,1,£275.00,£100.00,£29.17,£245.83,£145.83,59.32%
Cameras & Photography,Camera & Photo Accessories,Nikon,,BBWGCQNS2QY9B,nikon af-s 55-200,1,£40.00,£15.00,£4.17,£35.83,£20.83,58.14%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWGOGOPO1WRB,K&F TM2515T Digital Tripod Monopod Transverse Center Column,1,£59.99,£30.00,£5.00,£54.99,£24.99,45.45%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWG2D5127B86,Go Pro Hero 7,1,£189.99,£90.00,£16.66,£173.33,£83.33,48.07%
