Category Level 1,Category Level 2,Category Level 3,Category Level 4,Barserial,Name,Quantity,Retail,Cost,VAT,Net,Total Margin,Margin %
Cameras & Photography,Digital Cameras,Other,,BBWG6T1C8CG4H,Tamron 17-50mm f/2.8 XR Di II (Nikon),1,£89.99,£40.00,£8.33,£81.66,£41.66,51.02%
Cameras & Photography,Digital Cameras,Other,,BBWGXVNCVB1BO,jianisi remote switch,1,£3.99,£2.00,£0.33,£3.66,£1.66,45.33%
Cameras & Photography,Digital Cameras,Other,,BBNNVWBFSHEBP,"Panasonic Lumix DMC-FZ330 12M, A",1,£250.00,£130.00,£20.00,£230.00,£100.00,43.48%
Cameras & Photography,Digital Cameras,Other,,BBTXHFK01KIEM,Tripod,1,£9.99,£2.00,£1.33,£8.66,£6.66,76.90%
Cameras & Photography,Digital Cameras,Panasonic,,BBWG1JGXHDHQX,Panasonic lz20,1,£40.00,£20.00,£3.33,£36.67,£16.67,45.45%
Cameras & Photography,Digital Cameras,Sony,,BBTXBXQHASY55,Sony W830 camera with box,1,£69.99,£20.00,£8.33,£61.66,£41.66,67.56%
Cameras & Photography,Other,,,BBB1H2BWG2R04,Sigma EF-610 DG ST FlashGun (Sony),1,£14.99,£30.00,£0.00,£14.99,-£15.01,-100.13%
Cameras & Photography,Other,,,BBB1W2AWG2YFV,Nikon d40 18-55mm SH,-1,-£60.00,-£60.00,£0.00,-£60.00,£0.00,0.00%
Cameras & Photography,Other,,,BBWG8ACBB8ED6,Other 12 camera cctv,-1,-£229.99,-£100.00,-£21.66,-£208.33,-£108.33,52.00%
Cameras & Photography,Other,,,BBWG8B5A65C1C,Pandora Charms K,2,£23.98,£10.00,£2.33,£21.65,£11.65,53.81%
Cameras & Photography,Other,,,BBWG0EBD714AD,Logitech Streamcam Webcam,1,£139.99,£65.00,£12.50,£127.49,£62.49,49.02%
Cameras & Photography,Other,,,BBWGAOYALX1YO,Inca Camera Tripod,-1,-£19.99,-£10.00,-£1.66,-£18.32,-£8.32,45.43%
Cameras & Photography,Other,,,BBWGKLVWVOXX6,Nikon s2500 K,1,£9.99,£5.00,£0.83,£9.16,£4.16,45.40%
Cameras & Photography,Other,,,BBWG15088AD38,Canon 75-300mm Lens,-1,-£99.99,-£40.00,-£10.00,-£89.99,-£49.99,55.55%
Cameras & Photography,Other,,,BBWG1D4E8F458,Canon Speedlite 430EX II,1,£59.99,£37.00,£3.83,£56.16,£19.16,34.11%
Cameras & Photography,Other,,,BBWG1512D09BB,Fifa 14,-1,-£0.50,-£0.25,-£0.04,-£0.46,-£0.21,45.45%
Cameras & Photography,Other,,,BBWG5ED27EBB6,fifa,1,£0.50,£0.25,£0.04,£0.46,£0.21,45.45%
Cameras & Photography,Other,,,BBWG2D1E4659C,FM Radio Trigger,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Cameras & Photography,Other,,,BBWGB894D1259,Minolta 70-210mm Lens,1,£29.99,£5.00,£4.16,£25.82,£20.82,80.64%
Cameras & Photography,Other,,,BBWGB48D3C147,Falcon Security Camera System,1,£99.99,£40.00,£10.00,£89.99,£49.99,55.55%
Cameras & Photography,Other,,,BBWG2539F8B17,Swann Enforcer Security System,1,£160.00,£75.00,£14.17,£145.83,£70.83,48.57%
Cameras & Photography,Other,,,BBWGQNLWBZHEJ,logitech security camara,1,£79.99,£20.00,£10.00,£69.99,£49.99,71.43%
Cameras & Photography,Other,,,BBWGRBXFCN1LV,Fujifilm Finepix S4800 16M,-1,-£44.99,-£20.00,-£4.16,-£40.82,-£20.83,51.01%
Cameras & Photography,Other,,,BBB103BT21WRP,kodak sp360 IK,1,£99.99,£85.00,£2.50,£97.49,£12.49,12.81%
Cameras & Photography,Other,,,BBTXB89D66D11,DJI Mavic Flymore Kit foldable Quadcopter,1,£179.99,£120.00,£10.00,£169.99,£49.99,29.41%
Cameras & Photography,Other,,,BBTXE0EFC4B51,Motorola Dashcam MDC500GW,1,£99.99,£50.00,£8.33,£91.66,£41.66,45.45%
Cameras & Photography,Other,,,BBTX5F13181B2,bresser night vision 3x25,1,£49.99,£25.00,£4.16,£45.82,£20.83,45.44%
Cameras & Photography,Other,,,BBWGCQUHKIPH6,Digital Video Camera Recorder,1,£20.00,£20.00,£0.00,£20.00,£0.00,0.00%
Cameras & Photography,Other,,,BBTXF0698238C,Sky cam video monitor,1,£199.99,£100.00,£16.66,£183.33,£83.33,45.45%
Cameras & Photography,Other,,,BBWG01MURYNUU,"Nikon D3400 Black + AF-P DX 18-55mm, B",1,£220.00,£120.00,£16.67,£203.33,£83.33,40.98%
Cameras & Photography,Other,,,BBWGTAXCSB249,Nikon 55-200mm f/4-5.6 VR AFS DX,1,£60.00,£30.00,£5.00,£55.00,£25.00,45.45%
Cameras & Photography,Other,,,BBWGMJ4H5Z9VX,"DJI Osmo+ Zenmuse X3 Zoom Gimbal, B",1,£50.00,£12.00,£6.33,£43.67,£31.67,72.52%
Cameras & Photography,Other,,,BBWYXX6SYLTXE,defender max 2 solar security NEW light,1,£15.00,£5.00,£1.67,£13.33,£8.33,62.50%
Cameras & Photography,SLR Cameras,Canon,,BBWG271118D8B,Tamron 150-600MM F5-6.3 SP Di VC USD G1 (Canon),1,£499.99,£280.00,£36.66,£463.33,£183.33,39.57%
Cameras & Photography,SLR Cameras,Canon,,BBWGO2ZZ5CQNM,Canon EF 75-300mm Lens,1,£109.99,£25.00,£14.16,£95.82,£70.82,73.91%
Cameras & Photography,SLR Cameras,Canon,,BBWGGNNOPDT8H,sigma 70-300mm lens (Canon),-1,-£59.99,-£30.00,-£5.00,-£54.99,-£24.99,45.45%
Cameras & Photography,SLR Cameras,Canon,,BBWGJ5AO93ESJ,canon zoom lens ac 75-200mm 1:4.5,1,£39.99,£15.00,£4.16,£35.82,£20.83,58.13%
Cameras & Photography,SLR Cameras,Canon,,BBTX8ZTJKNRWC,canon 200d,1,£300.00,£200.00,£16.67,£283.33,£83.33,29.41%
Cameras & Photography,SLR Cameras,Canon,,BBWGRZS2CIE5Z,Canon EF 50mm,1,£59.99,£30.00,£5.00,£54.99,£24.99,45.45%
Cameras & Photography,SLR Cameras,Canon,,BBWGXMLYO9FDK,Canon Speedlite 270EX,1,£49.99,£25.00,£4.16,£45.82,£20.83,45.44%
Cameras & Photography,SLR Cameras,Canon,,BBWGBV4DPEHIM,Canon EFS 55-250mm,1,£104.99,£50.00,£9.16,£95.82,£45.82,47.82%
Cameras & Photography,SLR Cameras,Kodak,,,,,,,,,,
Cameras & Photography,SLR Cameras,Nikon,,BBNN8DD44FAB6,Nikon D810,1,£674.99,£305.00,£61.66,£613.32,£308.33,50.27%
Cameras & Photography,SLR Cameras,Nikon,,BBNNB2C2DBBFD,Nikon AF-s 24-120mm,1,£329.99,£130.00,£33.33,£296.66,£166.66,56.18%
Cameras & Photography,SLR Cameras,Nikon,,BBNNA603E3227,Nikon Battery Grip,1,£39.99,£15.00,£4.16,£35.82,£20.83,58.13%
Cameras & Photography,SLR Cameras,Nikon,,BBNN1833F259D,Nikon D5600 SLR body only/Nikon dx 18-105mm lens ch,1,£300.00,£100.00,£33.33,£266.67,£166.67,62.50%
Cameras & Photography,SLR Cameras,Nikon,,BBWGCCTB5EWA8,Nikon D3300 With Battery and Charger,1,£80.00,£35.00,£7.50,£72.50,£37.50,51.72%
Cameras & Photography,SLR Cameras,Other,,,,,,,,,,
Cameras & Photography,SLR Cameras,Sony,,,,,,,,,,
Cameras & Photography,Telescopes & Binoculars,Canon,,BBWGKS4PPLHGU,Canon,1,£199.99,£50.00,£25.00,£174.99,£124.99,71.43%
Cameras & Photography,Telescopes & Binoculars,Canon,,BBWGY1QNMSBLA,Ring,1,£19.99,£10.00,£1.66,£18.32,£8.32,45.43%
Cameras & Photography,Telescopes & Binoculars,Leica,,,,,,,,,,
Cameras & Photography,Telescopes & Binoculars,Nikon,,,,,,,,,,
Cameras & Photography,Telescopes & Binoculars,Other,,BBWGC6CC91DEE,Sunagor 45x21,-1,-£29.99,-£15.00,-£2.50,-£27.49,-£12.49,45.44%
Cameras & Photography,Telescopes & Binoculars,Other,,BBWG6159425B1,Binoculars 8x21,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Cameras & Photography,Telescopes & Binoculars,Other,,BBWGCC8F3CAF8,Binoculars 8x42,1,£19.99,£10.00,£1.66,£18.32,£8.32,45.43%
Cameras & Photography,Telescopes & Binoculars,Other,,BBTXE5QCTQSIW,Celestron Powerseeker 127EQ with 3x barlow lens and Celestron 4mm,1,£99.99,£50.00,£8.33,£91.66,£41.66,45.45%
Cameras & Photography,Telescopes & Binoculars,Other,,BBTXTYTSRXIF7,Zennox 8-24x50 Zoom,-1,-£40.00,-£10.00,-£5.00,-£35.00,-£25.00,71.43%
Cameras & Photography,Telescopes & Binoculars,Other,,BBWGIJADEGJLR,monocular,1,£19.99,£10.00,£1.66,£18.32,£8.32,45.43%
Cameras & Photography,Telescopes & Binoculars,Tasco,,,,,,,,,,
