Category Level 1,Category Level 2,Category Level 3,Barserial,Name,Quantity,Retail,Cost,VAT,Net,Total Margin,Margin %
Jewellery & Watches,Rings,Other,BBTXF2614A327,Other,2,£9.98,£4.00,£1.00,£8.98,£4.98,55.47%
Jewellery & Watches,Rings,Other,BBTX631BBF515,9ct Ring,1,£79.99,£60.00,£3.33,£76.66,£16.66,21.73%
Jewellery & Watches,Rings,Other,BBTXC92DA5235,9ct Gold Ring7.92g,2,£299.98,£100.00,£33.33,£266.65,£166.65,62.50%
Jewellery & Watches,Rings,Other,BBTX317CA0B27,9ct Ring 4.66G,1,£120.00,£70.00,£8.33,£111.67,£41.67,37.31%
Jewellery & Watches,Rings,Other,BBTX188E32DA4,2.56g 9ct gold ring,1,£99.99,£65.00,£5.83,£94.16,£29.16,30.97%
Jewellery & Watches,Rings,Other,BBTX9EA1F4845,9ct Ring,2,£85.98,£30.00,£9.33,£76.65,£46.65,60.86%
Jewellery & Watches,Rings,Other,BBTX05E145046,9ct Ring,2,£85.98,£30.00,£9.33,£76.65,£46.65,60.86%
Jewellery & Watches,Rings,Other,BBTX379D58426,9ct Bracelet,1,£44.99,£20.00,£4.16,£40.82,£20.83,51.01%
Jewellery & Watches,Rings,Other,BBTX78FDDC5AD,2.42g 375 Gold Ring,1,£84.99,£35.00,£8.33,£76.66,£41.66,54.34%
Jewellery & Watches,Rings,Other,BBTX59D1B4572,9ct gold ring 2.8G,1,£59.99,£30.00,£5.00,£54.99,£24.99,45.45%
Jewellery & Watches,Rings,Other,BBTXC3B9E3A80,2.52g 18ct Ring,1,£149.99,£60.00,£15.00,£134.99,£74.99,55.55%
Jewellery & Watches,Rings,Other,BBTX75A5E621A,4.4g 9ct Ring,1,£99.99,£50.00,£8.33,£91.66,£41.66,45.45%
Jewellery & Watches,Rings,Other,BBTX2C2EA5F38,Ring 9 carat gold 6.92g with unknown green stone. Hallmarked 375,1,£170.00,£85.00,£14.17,£155.83,£70.83,45.45%
Jewellery & Watches,Rings,Other,BBTXFA6590DB1,Silver Ring,-1,-£19.99,-£10.00,-£1.66,-£18.32,-£8.32,45.43%
Jewellery & Watches,Rings,Other,BBTX692372276,Purple Ring 9ct Bought from us for £50),1,£50.00,£40.00,£1.67,£48.33,£8.33,17.24%
Jewellery & Watches,Rings,Other,BBTX942CB3EB9,Other,1,£80.00,£40.00,£6.67,£73.33,£33.33,45.45%
Jewellery & Watches,Rings,Other,BBTX1FA185149,14ct Rings 7.6g,1,£300.00,£120.00,£30.00,£270.00,£150.00,55.56%
Jewellery & Watches,Rings,Other,BBTX657974897,small ring (childs) 18k 750,1,£79.99,£40.00,£6.66,£73.32,£33.32,45.45%
Jewellery & Watches,Rings,Other,BBTX8C4C88746,dress necklace with double heart pendent,1,£15.00,£5.00,£1.67,£13.33,£8.33,62.50%
Jewellery & Watches,Rings,Other,BBTXEE90CC67F,9ct gold ring (375) with 3 stones,1,£325.00,£165.00,£26.67,£298.33,£133.33,44.69%
Jewellery & Watches,Rings,Other,BBTXB4436CC6B,9ct gold ring 2.18g,-1,-£49.99,-£49.99,£0.00,-£49.99,£0.00,0.00%
Jewellery & Watches,Rings,Other,BBTX68521D389,Lorus watch,1,£69.99,£30.00,£6.66,£63.32,£33.32,52.63%
Jewellery & Watches,Rings,Other,BBTX2B854EAD7,Other,1,£299.99,£130.00,£28.33,£271.66,£141.66,52.15%
Jewellery & Watches,Rings,Other,BBTXE41B2F26B,Other,1,£64.00,£50.00,£2.33,£61.67,£11.67,18.92%
Jewellery & Watches,Rings,Other,BBTXB8EF8BED8,set of jewellery (375) rings x2 necklace and earings x2,1,£199.99,£65.00,£22.50,£177.49,£112.49,63.38%
Jewellery & Watches,Rings,Other,BBTXDBAEE4546,SCRAP SILVER,1,£20.00,£8.00,£2.00,£18.00,£10.00,55.56%
Jewellery & Watches,Rings,Other,BBTX76184027A,9ct gold (375) soverign style ring,1,£179.99,£80.00,£16.66,£163.33,£83.33,51.02%
Jewellery & Watches,Rings,Other,BBTX48C2A6C87,9ct gold ring (375) 9.68G,1,£399.99,£200.00,£33.33,£366.66,£166.66,45.45%
Jewellery & Watches,Rings,Other,BBTX39CA9F795,925 3.2g Silver ring,1,£12.00,£2.50,£1.58,£10.42,£7.92,76.00%
Jewellery & Watches,Rings,Other,BBTX250150F88,White gold,1,£49.99,£30.00,£3.33,£46.66,£16.66,35.70%
Jewellery & Watches,Rings,Other,BBTX683326C52,Tree of Life Ring,1,£639.99,£130.00,£85.00,£554.99,£424.99,76.58%
Jewellery & Watches,Rings,Other,BBTX5197651B6,2x18ct rings (2.42g) (2.60g) 2xmisc rings (5.60g),1,£499.99,£150.00,£58.33,£441.66,£291.66,66.04%
Jewellery & Watches,Rings,Other,BBTX11F5A7D1A,Pandora ring and necklace set,1,£39.99,£20.00,£3.33,£36.66,£16.66,45.44%
Jewellery & Watches,Rings,Other,BBTX33E837FB6,Pandora Gem Ring,1,£39.99,£20.00,£3.33,£36.66,£16.66,45.44%
Jewellery & Watches,Rings,Other,BBTX17151C3F7,"Costume Jewellery, Rings, Earrings",1,£39.99,£20.00,£3.33,£36.66,£16.66,45.44%
Jewellery & Watches,Rings,Other,BBTXBB97ADDE3,ring 1.38g,1,£129.99,£50.00,£13.33,£116.66,£66.66,57.14%
Jewellery & Watches,Rings,Other,BBTX413AA98F9,2.52g 9ct ring,1,£49.99,£30.00,£3.33,£46.66,£16.66,35.70%
Jewellery & Watches,Rings,Other,BBTX24RWXIMVI,925 2.42g ring with red stones,1,£12.99,£5.00,£1.33,£11.66,£6.66,57.11%
Jewellery & Watches,Rings,Other,BBTXEO4MJTC4Y,4.34g 375 ring and 2.00g 375 chain,1,£99.99,£25.00,£12.50,£87.49,£62.49,71.43%
Jewellery & Watches,Rings,Other,BBTXEIVB8QMIW,9ct gold soverign ring 375 8.78G,1,£499.99,£100.00,£66.66,£433.33,£333.33,76.92%
Jewellery & Watches,Rings,Other,BBTXEKKRQVQXI,gold dress ring,1,£1.99,£0.50,£0.25,£1.74,£1.24,71.29%
Jewellery & Watches,Rings,Other,BBTXKT33E3UG9,Other 925 silver ring,1,£19.99,£10.00,£1.66,£18.32,£8.32,45.43%
Jewellery & Watches,Rings,Other,BBTXVXQASGOT2,silver band ring (925),1,£14.99,£5.00,£1.66,£13.33,£8.33,62.48%
Jewellery & Watches,Rings,Other,BBTXWSORWOQ50,silver mood ring (925),1,£14.99,£5.00,£1.66,£13.33,£8.33,62.48%
Jewellery & Watches,Rings,Other,BBTXPNI2RNRDN,silver star ring (925),1,£14.99,£5.00,£1.66,£13.33,£8.33,62.48%
Jewellery & Watches,Rings,Other,BBTXADAWJGKH4,silver dimonte ring (925),1,£14.99,£5.00,£1.66,£13.33,£8.33,62.48%
Jewellery & Watches,Rings,Other,BBTXUEIVHREBV,9ct gold ring 2.76,1,£99.99,£50.00,£8.33,£91.66,£41.66,45.45%
Jewellery & Watches,Rings,Other,BBTXKA0JUA7GS,24k gold ring,1,£499.99,£380.00,£20.00,£479.99,£99.99,20.83%
Jewellery & Watches,Rings,Other,BBTXLAS9O6BUS,silver ring (925),1,£14.99,£10.00,£0.83,£14.16,£4.16,29.37%
Jewellery & Watches,Rings,Other,BBTXJMI1XTURY,8.34 Gold ~ Various,1,£0.01,£150.00,£0.00,£0.01,-£149.99,"-1,499,900.00%"
Jewellery & Watches,Rings,Other,BBTX2LG00BQTL,Silver Bracelet / Necklace / Ring,1,£0.01,£35.00,£0.00,£0.01,-£34.99,"-349,900.00%"
Jewellery & Watches,Rings,Other,BBTXU4STFQJRN,"375 pendent and ring (2.60G, 4.50G)",1,£199.99,£60.00,£23.33,£176.66,£116.66,66.04%
Jewellery & Watches,Rings,Other,BBTXRKMSJYK5I,14CT Gold wedding band (585),1,£70.00,£50.00,£3.33,£66.67,£16.67,25.00%
Jewellery & Watches,Rings,Other,BBTXYTUR8PPVE,14CT Gold wedding band (585) 3.30G,1,£100.00,£70.00,£5.00,£95.00,£25.00,26.32%
Jewellery & Watches,Rings,Other,BBTXLC3UTMYW9,9ct white gold ring (375) 1.56G,1,£59.99,£30.00,£5.00,£54.99,£24.99,45.45%
Jewellery & Watches,Rings,Other,BBTXXHU3WFQS4,Other,1,£299.99,£150.00,£25.00,£274.99,£124.99,45.45%
Jewellery & Watches,Rings,Other,BBTXGHY1PE4BC,9ct gold ring (375) 1.50G scrap,1,£26.00,£18.00,£1.33,£24.67,£6.67,27.03%
Jewellery & Watches,Rings,Other,BBTXA73YSRPFV,2.72G 925 RING,1,£24.99,£10.00,£2.50,£22.49,£12.49,55.54%
Jewellery & Watches,Rings,Other,BBTXP3BCSQREQ,925 6.00g,1,£14.99,£6.50,£1.42,£13.58,£7.07,52.12%
Jewellery & Watches,Rings,Other,BBTXDOSWDUSFX,925 29.08g,1,£19.99,£10.00,£1.66,£18.32,£8.32,45.43%
Jewellery & Watches,Rings,Other,BBTXFBDJSEBNS,no hallmark dragon ring,1,£9.99,£3.50,£1.08,£8.91,£5.41,60.71%
Jewellery & Watches,Rings,Other,BBTX1ICUQMM9P,1.92G 375 RING,1,£95.00,£20.00,£12.50,£82.50,£62.50,75.76%
Jewellery & Watches,Rings,Other,BBTX3827SJSV3,2.74G DRESS RING,1,£24.99,£10.00,£2.50,£22.49,£12.49,55.54%
Jewellery & Watches,Rings,Other,BBTXZHTO2R3BT,9ct gold ring (375) with blue stone,1,£59.99,£30.00,£5.00,£54.99,£24.99,45.45%
Jewellery & Watches,Rings,Other,BBTXDBE5OCL51,Other,1,£14.99,£5.00,£1.66,£13.33,£8.33,62.48%
Jewellery & Watches,Rings,Other,BBTXLLATO5HTF,4.44g silver band,1,£4.99,£2.50,£0.42,£4.58,£2.08,45.36%
Jewellery & Watches,Rings,Other,BBTXOP9CT5KLJ,9ct gold ring (375) 1.56G,1,£44.99,£20.00,£4.16,£40.82,£20.83,51.01%
Jewellery & Watches,Rings,Other,BBTXHLX1VVWDQ,Silver ring,1,£29.99,£15.00,£2.50,£27.49,£12.49,45.44%
Jewellery & Watches,Rings,Other,BBTXCGHALTFTA,silver bangle and matching ring (925),-1,-£19.99,-£10.00,-£1.66,-£18.32,-£8.32,45.43%
Jewellery & Watches,Rings,Other,BBTXOAA6VST5N,3.74G/14KT Gold ring,1,£235.00,£40.00,£32.50,£202.50,£162.50,80.25%
Jewellery & Watches,Rings,Other,BBTXNMB9FYUBV,Other,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTXDGYFUL2RU,18ct gold ring 2.78G,1,£129.99,£80.00,£8.33,£121.66,£41.66,34.24%
Jewellery & Watches,Rings,Other,BBTXAOLA6AJXW,7.54g silver statement ring,1,£4.99,£2.50,£0.42,£4.58,£2.08,45.36%
Jewellery & Watches,Rings,Other,BBTXR6LJX3NH1,Dress ring with pink stone no box,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTXNGI46ZAXK,gold ring,1,£39.99,£20.00,£3.33,£36.66,£16.66,45.44%
Jewellery & Watches,Rings,Other,BBTXYOQAOVQZC,Silver 925 ring 1.1g,1,£20.00,£7.50,£2.08,£17.92,£10.42,58.14%
Jewellery & Watches,Rings,Other,BBTX3DZ5UIHTL,Orings,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTXAW4TWN8JE,ribnggs,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTXWRQKLF7AB,Other,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTXKBYCMNO7F,ring,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTXN1ABJWLMK,ring,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTXV7MXPKBUE,ring,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTXG2GOSNN0P,ring,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTX94SORE2ML,ring,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTXMDPTT0WGK,ring,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTXJDQY7FEW7,ring,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTXMH7XZTQUU,ring,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTXWUXLJYEBQ,Other,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTXCBATJUVZJ,ring,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTXWZIO71WP5,ring,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTXEXUQACOCM,ring,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Rings,Other,BBTXITKMVUZFG,2.40 white gold ring with diamantes,1,£59.99,£30.00,£5.00,£54.99,£24.99,45.45%
Jewellery & Watches,Rings,Other,BBTXWBVC2DWDA,pandora ring,1,£29.99,£20.00,£1.66,£28.32,£8.32,29.39%
Jewellery & Watches,Rings,Other,BBTX4QEPFTAMY,ring designer silver,1,£19.99,£10.00,£1.66,£18.32,£8.32,45.43%
Jewellery & Watches,Rings,Other,BBTXMTBHW3VIF,1.18 9ct Coloured Gemstone Ring,1,£39.99,£20.00,£3.33,£36.66,£16.66,45.44%
Jewellery & Watches,Rings,Other,BBTXKGJVGAUHQ,Gold ring 5.66g,1,£199.99,£100.00,£16.66,£183.33,£83.33,45.45%
Jewellery & Watches,Rings,Other,BBTX24SHTFDDC,9ct gold Ring,1,£89.99,£40.00,£8.33,£81.66,£41.66,51.02%
Jewellery & Watches,Rings,Other,BBTX8B7CNXG5L,9ct gold ring 1.00G,1,£29.99,£10.00,£3.33,£26.66,£16.66,62.49%
Jewellery & Watches,Rings,Other,BBTXVXIZLKX2L,9ct gold ring 2.85G,1,£89.99,£40.00,£8.33,£81.66,£41.66,51.02%
Jewellery & Watches,Rings,Other,BBTXCES1B6N8N,1 ring with diamante stone and locket charm,1,£0.00,£10.00,£0.00,£0.00,-£10.00,0.00%
Jewellery & Watches,Rings,Other,BBTXB2O0TZAXL,"9ct Ring, Paul Valenine Watch, Bracelet",1,£0.01,£45.00,£0.00,£0.01,-£44.99,"-449,900.00%"
Jewellery & Watches,Rings,Other,BBTXYKXUAFHAJ,Gold Ring + Old Pandora Ring with Diamonds,1,£0.01,£50.00,£0.00,£0.01,-£49.99,"-499,900.00%"
Jewellery & Watches,Rings,Other,BBTXOE9HO5S17,18ct DIA Ring,1,£299.99,£140.00,£26.66,£273.33,£133.33,48.78%
Jewellery & Watches,Rings,Other,BBTXWAWTVRKM7,9ct gold ring with saphire stone,1,£99.99,£50.00,£8.33,£91.66,£41.66,45.45%
Jewellery & Watches,Rings,Other,BBTX8JM0SFTLZ,Bulgari Ring 14ct,1,£499.99,£250.00,£41.66,£458.33,£208.33,45.45%
Jewellery & Watches,Rings,Other,BBTXBO1EDVB19,9ct Necklace 19.06,1,£749.99,£300.00,£75.00,£674.99,£374.99,55.56%
Jewellery & Watches,Rings,Other,BBTXLISPDHBTN,Ring 2.38g,1,£99.99,£40.00,£10.00,£89.99,£49.99,55.55%
Jewellery & Watches,Rings,Other,BBTX1CDC237C1,silver ring,1,£20.00,£10.00,£1.67,£18.33,£8.33,45.45%
Jewellery & Watches,Rings,Other,BBTXFD36AF00F,silver ring,1,£20.00,£10.00,£1.67,£18.33,£8.33,45.45%
Jewellery & Watches,Rings,Other,BBTX7B22FDE80,bracelet,1,£10.00,£5.00,£0.83,£9.17,£4.17,45.45%
Jewellery & Watches,Rings,Other,BBTX5B3906B86,dress ring,1,£5.00,£2.50,£0.42,£4.58,£2.08,45.45%
Jewellery & Watches,Rings,Other,BBTXD5B305C2E,silver ring,1,£10.00,£5.00,£0.83,£9.17,£4.17,45.45%
Jewellery & Watches,Rings,Other,BBTX219DA62B6,silver ring,1,£10.00,£5.00,£0.83,£9.17,£4.17,45.45%
Jewellery & Watches,Rings,Other,BBTXBOUSWLF9C,9ct CZ Ring,1,£99.99,£40.00,£10.00,£89.99,£49.99,55.55%
Jewellery & Watches,Rings,Other,BBTXDVHOYQXJO,2.28G 925 Diamonte Ring,1,£24.99,£10.00,£2.50,£22.49,£12.49,55.54%
Jewellery & Watches,Rings,Other,BBTXXAXEV0Y9W,"2x Ring, Scrap Earring",1,£0.01,£105.00,£0.00,£0.01,-£104.99,"-1,049,900.00%"
Jewellery & Watches,Rings,Other,BBTXQU5LBTDED,9ct gold ring 1.56G,1,£69.99,£25.00,£7.50,£62.49,£37.49,59.99%
Jewellery & Watches,Rings,Other,BBTXAF4I7INVK,Scrap Gold,1,£0.01,"£1,730.00",£0.00,£0.01,"-£1,729.99","-17,299,900.00%"
Jewellery & Watches,Rings,Other,BBTXXCFVCCZSJ,4.00g 925 ring,1,£9.99,£5.00,£0.83,£9.16,£4.16,45.40%
Jewellery & Watches,Rings,Other,BBTX7ELVMJPNW,silver ring 925,1,£19.99,£7.50,£2.08,£17.91,£10.41,58.12%
Jewellery & Watches,Rings,Other,BBTXCPGJR0DOI,9ct gold ring (375) 10.6G,1,£349.99,£100.00,£41.66,£308.33,£208.33,67.57%
Jewellery & Watches,Rings,Other,BBTXS7N4CKTFW,9ct gold ring 2.3G,1,£69.99,£30.00,£6.66,£63.32,£33.32,52.63%
Jewellery & Watches,Rings,Other,BBTXPGGKDCAED,scrap gold 1.89,1,£59.99,£25.00,£5.83,£54.16,£29.16,53.84%
Jewellery & Watches,Rings,Other,BBTXAJPLMRASA,4.74G 14ct gold ring (585),1,£199.99,£70.00,£21.66,£178.33,£108.33,60.75%
Jewellery & Watches,Rings,Other,BBTXAYP0I3BEA,mix of scrap gold,1,£209.99,£110.00,£16.66,£193.33,£83.33,43.10%
Jewellery & Watches,Rings,Other,BBTX8EIKSD9PB,9ct gold band ring 3.23G,1,£109.99,£50.00,£10.00,£99.99,£49.99,50.00%
Jewellery & Watches,Rings,Other,BBTXJPV3N6ERU,silver chain with cross,1,£9.99,£5.00,£0.83,£9.16,£4.16,45.40%
Jewellery & Watches,Rings,Other,BBTXKBU1XRL99,costume ring,1,£3.99,£1.00,£0.50,£3.49,£2.49,71.36%
Jewellery & Watches,Rings,Other,BBTXIAUYWIFKV,6.54G 375 3X GEM RING,1,£249.99,£60.00,£31.66,£218.33,£158.33,72.52%
Jewellery & Watches,Rings,Other,BBTX3ZGH1VGNO,9ct gold ring with pearl stone 4.00G,1,£99.99,£40.00,£10.00,£89.99,£49.99,55.55%
Jewellery & Watches,Rings,Other,BBTXOUFGJJ4UI,4.63 9kt ring,1,£199.99,£40.00,£26.66,£173.33,£133.33,76.92%
Jewellery & Watches,Rings,Other,BBTXJSQDFGPF3,4.18 9kt ring,1,£199.99,£40.00,£26.66,£173.33,£133.33,76.92%
Jewellery & Watches,Rings,Other,BBTXUYPRCBEWM,4.08g 375,1,£159.99,£50.00,£18.33,£141.66,£91.66,64.70%
Jewellery & Watches,Rings,Other,BBTXXMDORWGBU,21.55 dress bangle,1,£14.99,£5.00,£1.66,£13.33,£8.33,62.48%
Jewellery & Watches,Rings,Other,BBTXVT0IEWWN5,12.91g dress ring,1,£6.99,£3.00,£0.66,£6.32,£3.32,52.57%
Jewellery & Watches,Rings,Other,BBTXLGIFKECG2,dress ring,1,£9.99,£3.00,£1.16,£8.82,£5.82,66.01%
Jewellery & Watches,Rings,Other,BBTXIRTVWPVVZ,gold braclette,1,£227.99,£40.00,£31.33,£196.66,£156.66,79.66%
Jewellery & Watches,Rings,Other,BBTXLAHEQU2EG,gold scrap ring 4.52,1,£112.00,£40.00,£12.00,£100.00,£60.00,60.00%
Jewellery & Watches,Rings,Other,BBTXSDSIL8AHJ,9kt ring w big blue stone,1,£0.01,£50.00,£0.00,£0.01,-£49.99,"-499,900.00%"
Jewellery & Watches,Rings,Other,BBTXUL7YABN1C,2.40G 375 RING,1,£99.99,£45.00,£9.16,£90.82,£45.82,50.45%
Jewellery & Watches,Rings,Other,BBTXWVNLRXYMO,9ct gold soverign ring (375) 15G,1,£499.99,£150.00,£58.33,£441.66,£291.66,66.04%
Jewellery & Watches,Rings,Other,BBTX6IUO5CXZ3,9ct gold chain (375) 20 G,1,£649.99,£300.00,£58.33,£591.66,£291.66,49.30%
Jewellery & Watches,Rings,Other,BBTXHXRZBAWRT,Gold ring 9ct 4.52,1,£160.00,£90.00,£11.67,£148.33,£58.33,39.33%
Jewellery & Watches,Rings,Other,BBTXTOJCEVXVE,3.50g 925 ring,1,£15.00,£5.00,£1.67,£13.33,£8.33,62.50%
Jewellery & Watches,Rings,Other,BBTXIYZM6GXPA,4.90g CZ silver ring,1,£25.00,£10.00,£2.50,£22.50,£12.50,55.56%
Jewellery & Watches,Rings,Other,BBTXHBXYHB6FQ,Infinity stones Pandora ring,1,£25.00,£10.00,£2.50,£22.50,£12.50,55.56%
Jewellery & Watches,Rings,Other,BBTXMXYCCCQGA,2.16g Eye Ring,1,£10.00,£3.50,£1.08,£8.92,£5.42,60.75%
Jewellery & Watches,Rings,Other,BBTX4N3WGKFCR,4.84g Amber Ring,1,£5.00,£1.50,£0.58,£4.42,£2.92,66.04%
Jewellery & Watches,Rings,Other,BBTXORXTCYFDS,Silver Ring,1,£0.10,£5.00,£0.00,£0.10,-£4.90,"-4,900.00%"
Jewellery & Watches,Rings,Other,BBTXSI7ACJT5P,limit ladies silver watch,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Jewellery & Watches,Rings,Other,BBTXKB4DWBTZ1,ring,1,£100.00,£50.00,£8.33,£91.67,£41.67,45.45%
Jewellery & Watches,Rings,Other,BBTXUSRAQZYZB,3.58G 375 Eternity Band,1,£110.00,£50.00,£10.00,£100.00,£50.00,50.00%
Jewellery & Watches,Rings,Other,BBTXOG1POZB0T,3x rings (need splitting) all 9ct,1,£200.00,£155.00,£7.50,£192.50,£37.50,19.48%
Jewellery & Watches,Rings,Other,BBTXPSBJEME25,Silver Ring,1,£10.00,£2.00,£1.33,£8.67,£6.67,76.92%
Jewellery & Watches,Rings,Other,BBTXATRMYIHBN,silver plated necklace with the initial N,1,£7.99,£3.00,£0.83,£7.16,£4.16,58.09%
Jewellery & Watches,Rings,Other,BBTX4WRHOE05A,17.62g silver necklace,1,£12.00,£4.00,£1.33,£10.67,£6.67,62.50%
Jewellery & Watches,Rings,Other,BBTXDLQXIE6GP,braclete gold,1,£0.10,£237.00,£0.00,£0.10,-£236.90,"-236,900.00%"
Jewellery & Watches,Rings,Other,BBTXYT5AZQB82,tree of life,1,£1.00,£3.00,£0.00,£1.00,-£2.00,-200.00%
Jewellery & Watches,Rings,Other,BBTX0DJJJFA7B,375ct 2.90g gold ring,1,£0.01,£70.00,£0.00,£0.01,-£69.99,"-699,900.00%"
Jewellery & Watches,Rings,Other,BBTX39SGMDVLE,1.24G 375 SCRAP RING,1,£50.00,£25.00,£4.17,£45.83,£20.83,45.45%
Jewellery & Watches,Rings,Other,BBTXNLHIITK4F,DRESS NECKLACE,1,£5.00,£2.00,£0.50,£4.50,£2.50,55.56%
Jewellery & Watches,Rings,Other,BBTXBTNTCRJHQ,Calvin Klein passcase,1,£10.00,£5.00,£0.83,£9.17,£4.17,45.45%
Jewellery & Watches,Rings,Other,BBTXTNBSKUWHM,RING,1,£5.00,£1.00,£0.67,£4.33,£3.33,76.92%
Jewellery & Watches,Rings,Other,BBTX5NC4OPLEG,3.04g Gold  Cross Necklace,1,£80.00,£40.00,£6.67,£73.33,£33.33,45.45%
Jewellery & Watches,Rings,Other,BBTXHG7EEFH0O,silver ring,1,£6.00,£3.00,£0.50,£5.50,£2.50,45.45%
Jewellery & Watches,Rings,Other,BBTXHKPGKQ5DA,silver ring,1,£6.00,£3.00,£0.50,£5.50,£2.50,45.45%
Jewellery & Watches,Rings,Other,BBTXV5MVPIALK,sovereign ring 22kt 4g and .66 g strap,1,£440.00,£220.00,£36.67,£403.33,£183.33,45.45%
Jewellery & Watches,Rings,Other,BBTXAB83BD965,14kt Pearl Earrings,1,£100.00,£10.00,£15.00,£85.00,£75.00,88.24%
Jewellery & Watches,Rings,Other,BBTX3E1C31B61,Silver Ring,1,£10.00,£2.50,£1.25,£8.75,£6.25,71.43%
Jewellery & Watches,Rings,Other,BBTX5600C75F4,Silver Ring,1,£10.00,£2.50,£1.25,£8.75,£6.25,71.43%
Jewellery & Watches,Rings,Other,BBTX201C4MCRC,3.25g 9kt gold ring,1,£1.00,£80.00,£0.00,£1.00,-£79.00,"-7,900.00%"
Jewellery & Watches,Rings,Other,BBTX3QYWG8F3Y,2.24g 9ct White Gold Ring,1,£90.00,£32.00,£9.67,£80.33,£48.33,60.17%
Jewellery & Watches,Rings,Other,BBTXDWRBATD2W,[DP] 1.60G 9CT RING,1,£70.00,£50.00,£3.33,£66.67,£16.67,25.00%
Jewellery & Watches,Rings,Other,BBTXGKLR7XUBM,[DP] 1.35G 9CT RING,1,£60.00,£40.00,£3.33,£56.67,£16.67,29.41%
Jewellery & Watches,Rings,Other,BBTXKIAHCG3QX,silver ring,1,£25.00,£10.00,£2.50,£22.50,£12.50,55.56%
Jewellery & Watches,Rings,Other,BBTXCXOL3OKVU,costume ring,2,£2.00,£1.00,£0.17,£1.83,£0.83,45.45%
Jewellery & Watches,Rings,Other,BBTXBNO2AXRYD,{2.3g 22kt gold ring} {2.80g 9kt scrap gold ring w stones},1,£1.00,£170.00,£0.00,£1.00,-£169.00,"-16,900.00%"
Jewellery & Watches,Rings,Other,BBTX48YWFLZGX,silver ring,1,£15.00,£8.00,£1.17,£13.83,£5.83,42.17%
Jewellery & Watches,Rings,Other,BBTX80TNBV6UQ,Silver dress ring (925),1,£14.99,£5.00,£1.66,£13.33,£8.33,62.48%
Jewellery & Watches,Rings,Other,BBTX8MBBA3VO1,4.94g silver ring,1,£8.00,£4.00,£0.67,£7.33,£3.33,45.45%
Jewellery & Watches,Rings,Pandora,BBTXD61759C25,Pandora silver rings bh,-1,-£24.99,-£10.00,-£2.50,-£22.49,-£12.49,55.54%
Jewellery & Watches,Rings,Pandora,BBTXAEWC4YYKA,Pandora,1,£19.99,£5.00,£2.50,£17.49,£12.49,71.41%
Jewellery & Watches,Rings,Pandora,BBTXBED4F6FF1,Pandora ring (blue birthstone),1,£24.99,£10.00,£2.50,£22.49,£12.49,55.54%
Jewellery & Watches,Rings,Pandora,BBTX58750CC2E,Pandora rings mixed,1,£89.99,£25.00,£10.83,£79.16,£54.16,68.42%
Jewellery & Watches,Rings,Pandora,BBTX42FC2955B,Pandora w charms,1,£89.99,£50.00,£6.66,£83.32,£33.32,39.99%
Jewellery & Watches,Rings,Pandora,BBTXD999A675F,Pandora necklace,1,£50.00,£15.00,£5.83,£44.17,£29.17,66.04%
Jewellery & Watches,Rings,Pandora,BBTX3DACE4CCE,Pandora heart ring,1,£25.00,£10.00,£2.50,£22.50,£12.50,55.56%
Jewellery & Watches,Rings,Pandora,BBTXOQ16VR7VS,Pandora,1,£29.99,£15.00,£2.50,£27.49,£12.49,45.44%
Jewellery & Watches,Rings,Pandora,BBTXBBKAVI15G,Pandora sparkling wishbone ring,1,£19.99,£10.00,£1.66,£18.32,£8.32,45.43%
