Category Level 1,Category Level 2,Category Level 3,Barserial,Name,Quantity,Retail,Cost,VAT,Net,Total Margin,Margin %
Jewellery & Watches,Necklaces,,BBTXMZEQBS5PV,gold necklace (dress),1,£19.99,£10.00,£1.66,£18.32,£8.32,45.43%
Jewellery & Watches,Necklaces,,BBTXZ8SMA3FGV,pearl necklace,1,£29.99,£15.00,£2.50,£27.49,£12.49,45.44%
Jewellery & Watches,Necklaces,,BBTX4X1UIPBTD,Dress silver cross and chain,1,£19.99,£10.00,£1.66,£18.32,£8.32,45.43%
Jewellery & Watches,Necklaces,,BBTXATY97CFJX,4.88g 375 LOCKET,1,£199.99,£40.00,£26.66,£173.33,£133.33,76.92%
Jewellery & Watches,Necklaces,,BBTXANDMJAKAQ,6.54g owl necklace,1,£6.99,£3.00,£0.66,£6.32,£3.32,52.57%
Jewellery & Watches,Necklaces,,BBTXLFL66RNDQ,Drew Gold-Tone Stainless Steel Pendant Necklace,1,£30.00,£10.00,£3.33,£26.67,£16.67,62.50%
Jewellery & Watches,Necklaces,,BBTXYBAXO8O12,Vivienne Westwood Necklace Rose Gold,1,£40.00,£20.00,£3.33,£36.67,£16.67,45.45%
Jewellery & Watches,Necklaces,,BBTXZQVLP9CHR,"micheal kors earrings and necklace set, not hallmarked",1,£19.99,£10.00,£1.66,£18.32,£8.32,45.43%
Jewellery & Watches,Necklaces,,BBTXOMTY54DUH,blue stone 9ct necklace,1,£200.00,£100.00,£16.67,£183.33,£83.33,45.45%
Jewellery & Watches,Necklaces,,BBTXQA8EYREYY,56.54g Silver Chain [DP],1,£69.99,£20.00,£8.33,£61.66,£41.66,67.56%
Jewellery & Watches,Necklaces,,BBTXYGM67CGER,[DP] 10.92G 9CT NECKLACE,1,£300.00,£200.00,£16.67,£283.33,£83.33,29.41%
Jewellery & Watches,Necklaces,,BBTX5ELBOVAPP,silver pendent,1,£20.00,£10.00,£1.67,£18.33,£8.33,45.45%
Jewellery & Watches,Necklaces,,BBTXULBBEWGKE,13.64g Necklace (10.50g 9CT/3.15 14CT),1,£800.00,£350.00,£75.00,£725.00,£375.00,51.72%
Jewellery & Watches,Necklaces,,BBTXT0HVZYOTV,silver gucci necklace 43.62g,1,£1.00,£30.00,£0.00,£1.00,-£29.00,"-2,900.00%"
Jewellery & Watches,Necklaces,,BBTXOGPH5NIZH,Clogau Butterfly Locket Necklace,1,£39.99,£15.00,£4.16,£35.82,£20.83,58.13%
Jewellery & Watches,Necklaces,,BBTXYCQCCIMSP,"0,52 9CT across and chain Necklace",1,£30.00,£15.00,£2.50,£27.50,£12.50,45.45%
Jewellery & Watches,Necklaces,,BBTXILJ7EGXPI,6g Silver heart necklace,1,£10.00,£5.00,£0.83,£9.17,£4.17,45.45%
Jewellery & Watches,Necklaces,,BBTXBGJUEAKTC,2.86g Silver Butterfly necklace,1,£6.00,£3.00,£0.50,£5.50,£2.50,45.45%
Jewellery & Watches,Necklaces,,BBTXB5THGKMR5,4.8g Silver butterfly necklace,1,£10.00,£5.00,£0.83,£9.17,£4.17,45.45%
Jewellery & Watches,Necklaces,,BBTXM4QCGRWZV,2.92g Silver Heart Necklace,1,£4.00,£2.00,£0.33,£3.67,£1.67,45.45%
Jewellery & Watches,Necklaces,,BBTX9URVVOSK1,Silver Cross and Chain 4.68g,1,£5.00,£2.00,£0.50,£4.50,£2.50,55.56%
Jewellery & Watches,Necklaces,,BBTX76YTRPZFC,Silver Scrap Ring 2.52g,1,£4.00,£2.00,£0.33,£3.67,£1.67,45.45%
Jewellery & Watches,Other,,BBTX96DF4728A,pendant 2.36g 9k lh,1,£45.00,£20.00,£4.17,£40.83,£20.83,51.02%
Jewellery & Watches,Other,,BBTXAA54E9D3D,pendant 1.12g 9k ba,1,£29.99,£13.00,£2.83,£27.16,£14.16,52.13%
Jewellery & Watches,Other,,BBTX883055A40,B&G Bear ring,1,£6.00,£3.00,£0.50,£5.50,£2.50,45.45%
Jewellery & Watches,Other,,BBTXOLYFYYBCL,Costume Earrings,1,£11.99,£5.00,£1.16,£10.82,£5.82,53.81%
Jewellery & Watches,Other,,BBTXPTJ0QJD3E,Pandora Bangle and 3 Charms,1,£69.99,£30.00,£6.66,£63.32,£33.32,52.63%
Jewellery & Watches,Other,,BBTXM72MKA6JT,curren watch,-1,-£10.00,-£2.00,-£1.33,-£8.67,-£6.67,76.92%
Jewellery & Watches,Other,,BBTXC5D669B95,Rayband Glasses,-1,-£69.99,-£20.00,-£8.33,-£61.66,-£41.66,67.56%
Jewellery & Watches,Other,,BBTXE55087DE7,Silver Cigarette Case,1,£49.99,£25.00,£4.16,£45.82,£20.83,45.44%
Jewellery & Watches,Other,,BBTXB95DBB484,Pandora Bracelet w/6 charms,1,£149.99,£60.00,£15.00,£134.99,£74.99,55.55%
Jewellery & Watches,Other,,BBTXBEB45C747,vivienne westwood necklace pearl,2,£179.98,£50.00,£21.66,£158.32,£108.32,68.42%
Jewellery & Watches,Other,,BBTX69E3E2C4F,20 oz of silver,1,£399.99,£175.00,£37.50,£362.49,£187.49,51.72%
Jewellery & Watches,Other,,BBTX1688D9D63,scrap silver (one earing and bracelet),1,£9.99,£2.60,£1.23,£8.76,£6.16,70.31%
Jewellery & Watches,Other,,BBTX2A182CE7A,mix of 9ct gold Scrap/sellable and none marked,1,"£4,000.00","£2,000.00",£333.33,"£3,666.67","£1,666.67",45.45%
